tract,count
118900,42
119000,170
119100,57
119200,176
119300,18
119400,46
119500,22
119600,255
119800,707
119900,35
120000,413
120100,29
120200,261
120300,25
120500,119
120700,41
120800,155
121000,73
121100,32
121400,39
121500,270
122000,116
122300,81
122701,299
122702,305
123700,6771
124100,240
124700,118
125700,266
126500,148
126700,561
127700,148
128300,146
129102,80
129103,42
129104,46
130100,141
133300,110
133900,44
134100,173
134700,270
136700,64
137700,45
138501,88
138502,175
139900,30
140300,23
140901,23
140902,89
141700,180
142900,31
143500,11
144100,25
144700,32
145101,28
145102,28
145900,43
146300,43
146700,158
147100,90
147900,106
148300,45
150200,1839
150701,54
150702,46
152200,2853
152901,78
152902,59
155101,12
155102,112
156700,214
157101,384
157102,470
157901,147
157902,198
157903,108
161700,149
162100,406
UNKNOWN,3465272
